category,version,successful_runs,mean_duration_seconds,stdev_duration_seconds,mean_jmh_score,stdev_jmh_score,score_unit,mean_average_power_w,stdev_average_power_w,mean_idle_average_power_w,stdev_idle_average_power_w,mean_energy_j,stdev_energy_j,mean_net_energy_j,stdev_net_energy_j
CPU,7.1.2,2,802.073089,0.175253,8.978015,0.047972,ms/op,117.013343,0.123592,78.922251,1.659918,93956.911507,97.586519,30655.352647,1247.620358
CPU,8.1.0,2,803.084521,0.210656,8.960976,0.029397,ms/op,117.291586,0.148539,78.433175,0.709402,94359.692298,36.556835,31371.148748,622.789193
CPU,8.2.0,2,803.466982,0.218265,9.022495,0.085398,ms/op,116.761794,0.054452,77.600027,1.818454,93932.343044,37.114111,31583.084659,1440.891318
CPU,9.2.0,2,805.182109,0.592196,8.968340,0.007715,ms/op,116.327043,0.196122,78.074255,1.985623,93815.208287,77.534807,30951.802908,1475.018439
CPU,10.2.0,2,806.193088,0.176711,9.002499,0.006972,ms/op,116.293911,0.166357,78.936070,2.294793,93844.409960,129.290549,30206.493135,1734.704447
CPU,10.4.0,2,806.625797,0.089761,8.938673,0.053141,ms/op,116.707503,0.635736,77.225486,1.570018,94237.929814,595.868337,31945.930949,1855.353830
CPU,11.0.0,2,807.550770,0.320255,8.923023,0.064559,ms/op,116.329419,0.172047,78.465894,1.018049,94048.698593,56.839458,30683.342320,904.094613
CPU,11.1.0,2,809.111484,0.309066,8.943221,0.012672,ms/op,116.435419,0.387927,78.166661,0.418663,94309.093574,317.513015,31063.615577,632.099219
CPU,12.0.0,2,809.185880,0.078553,8.963912,0.049394,ms/op,116.183930,0.785034,77.955328,0.617205,94106.552727,634.229435,31026.226018,1127.539423
CPU,13.0.0,2,809.123912,0.040985,9.034799,0.017747,ms/op,116.398446,0.282436,78.005418,1.734804,94280.290114,227.119005,31164.276530,1627.593584
Cache,7.1.2,2,673.779742,0.161160,0.080923,0.000224,ms/op,110.187475,0.110000,79.603714,0.186933,74373.658668,74.243089,20738.303647,187.365749
Cache,8.1.0,2,675.341661,0.225374,0.080795,0.000106,ms/op,110.622273,0.165188,79.175901,0.645545,74778.833504,113.227937,21308.121520,531.347393
Cache,8.2.0,2,675.388372,0.114693,0.080750,0.000078,ms/op,110.143696,0.086069,79.903990,0.357900,74454.231435,55.070206,20487.985138,305.956140
Cache,9.2.0,2,676.752453,0.110484,0.081103,0.000087,ms/op,110.120433,0.010271,79.138660,0.410145,74602.572180,72.465241,21045.312411,196.357625
Cache,10.2.0,2,677.991782,0.009257,0.108651,0.000107,ms/op,109.770372,0.330503,80.602049,1.679243,74531.189645,224.413425,19883.670506,1362.180042
Cache,10.4.0,2,678.686320,0.323219,0.107363,0.000409,ms/op,109.722134,0.375909,79.296739,0.522857,74553.467413,336.075336,20735.770734,44.410547
Cache,11.0.0,2,679.131854,0.079608,0.108005,0.000564,ms/op,109.788439,0.386200,79.417173,1.491289,74654.384634,261.063785,20719.593610,1280.167921
Cache,11.1.0,2,680.015649,0.162613,0.108051,0.000653,ms/op,109.824324,0.020576,79.148158,0.949024,74782.033503,18.666030,20960.124442,651.146558
Cache,12.0.0,2,680.243685,0.139369,0.107598,0.000355,ms/op,124.353805,0.079584,88.724689,1.835220,84802.338908,52.531618,24447.801755,1313.293969
Cache,13.0.0,2,680.361145,0.112124,0.107406,0.000090,ms/op,124.350363,0.111800,90.183332,2.174654,84679.380405,76.114863,23322.023836,1565.776581
Mixed,7.1.2,2,644.323467,0.088266,1.123703,0.000641,ms/op,98.965372,0.262036,71.703954,1.231704,63878.605632,94.954442,17678.010862,704.990197
Mixed,8.1.0,2,645.169382,0.045642,1.126080,0.002203,ms/op,98.054067,0.162652,71.304648,0.228483,63340.457124,105.073416,17336.886678,39.082280
Mixed,8.2.0,2,645.269685,0.115782,1.125692,0.002022,ms/op,98.062924,0.567448,72.565255,1.103702,63345.198495,365.168374,16521.102961,338.615109
Mixed,9.2.0,2,646.675590,0.056566,1.127909,0.002503,ms/op,98.262779,0.563491,71.425031,1.144042,63623.862443,435.728565,17435.070736,300.055488
Mixed,10.2.0,2,647.728012,0.237722,1.125701,0.001902,ms/op,97.708245,0.438108,72.120550,1.272604,63410.177751,284.323775,16695.526199,557.122092
Mixed,10.4.0,2,648.709273,0.189080,1.125708,0.001975,ms/op,97.609463,0.151797,71.343464,1.886346,63444.696952,100.057560,17163.351786,1337.237403
Mixed,11.0.0,2,649.047583,0.129627,1.127474,0.001363,ms/op,97.851034,0.172603,71.290133,0.723897,63597.806453,113.567999,17327.164780,574.170532
Mixed,11.1.0,2,650.093081,0.050109,1.127100,0.000345,ms/op,97.479159,0.656747,70.805396,0.614340,63457.494917,428.905150,17427.381542,25.978791
Mixed,12.0.0,2,649.909680,0.082358,1.125748,0.000685,ms/op,97.430379,0.548803,71.794042,0.182158,63424.769060,357.271569,16765.118634,232.972468
Mixed,13.0.0,2,650.190235,0.081676,1.128262,0.001196,ms/op,107.743727,0.326875,79.265484,2.374925,70138.499071,212.770612,18600.952138,1324.908539
